specialty_name,diagnosis_name,diagnosis_relevance,recommended_drugs,candidate_drug_pairs,avoid_or_low_priority_drugs,evidence_source,top_drug_evidence,mapping_quality,evidence_interpretation,notes,treatment_role_evidence
内分泌/代谢,Acidosis,cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景,
内分泌/代谢,Acromegaly and pituitary gigantism,primary_specialty_disease,desmopressin acetate | hydrocortisone na succ. | hydrocortisone | levothyroxine sodium,desmopressin acetate | hydrocortisone na succ.,0.9% sodium chloride (mini bag plus) | acetaminophen | ceftriaxone | bisacodyl | docusate sodium,single_specialty_cooccurrence,desmopressin acetate(10) | hydrocortisone na succ.(4) | hydrocortisone(3) | levothyroxine sodium(1),候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级,desmopressin acetate:disease_directed_therapy | hydrocortisone na succ.:disease_directed_therapy | hydrocortisone:disease_directed_therapy | levothyroxine sodium:disease_directed_therapy
内分泌/代谢,Acute intermittent (hepatic) porphyria,primary_specialty_disease,methylprednisolone sodium succ,methylprednisolone sodium succ,morphine sulfate | d10w | diphenhydramine | acetaminophen | bisacodyl,single_specialty_cooccurrence,methylprednisolone sodium succ(1),候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级,methylprednisolone sodium succ:disease_directed_therapy
内分泌/代谢,Acute thyroiditis,primary_specialty_disease,atenolol | cholestyramine,atenolol | cholestyramine,acyclovir | enoxaparin (prophylaxis) | fluticasone propionate nasal | ibuprofen | multivitamins,single_specialty_cooccurrence,atenolol(3) | cholestyramine(1),候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级,atenolol:disease_directed_therapy | cholestyramine:disease_directed_therapy
内分泌/代谢,"Albinism, unspecified",cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景,
内分泌/代谢,Alkalosis,cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景,
内分泌/代谢,"Amyloidosis, unspecified",cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景,
内分泌/代谢,Ascorbic acid deficiency,cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景,
内分泌/代谢,Autoimmune thyroiditis,primary_specialty_disease,insulin | levothyroxine sodium | calcium carbonate | prednisone | insulin pump (self administering medication),insulin | levothyroxine sodium,acetaminophen | docusate sodium | ondansetron | oxycodone (immediate release) | senna,single_specialty_cooccurrence,insulin(237) | levothyroxine sodium(103) | calcium carbonate(42) | prednisone(14) | insulin pump (self administering medication)(11),候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级,insulin:disease_directed_therapy | levothyroxine sodium:disease_directed_therapy | calcium carbonate:disease_directed_therapy | prednisone:disease_directed_therapy | insulin pump (self administering medication):disease_directed_therapy
内分泌/代谢,Carcinoid syndrome,cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景,
内分泌/代谢,Congenital adrenogenital disorders associated with enzyme deficiency,cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景,
内分泌/代谢,Congenital hypothyroidism,primary_specialty_disease,levothyroxine sodium | prednisone | calcium carbonate | methylprednisolone sodium succ | insulin,levothyroxine sodium | prednisone,hydromorphone (dilaudid) | acetaminophen | morphine sulfate | ondansetron | heparin,single_specialty_cooccurrence,levothyroxine sodium(29) | prednisone(13) | calcium carbonate(11) | methylprednisolone sodium succ(6) | insulin(4),候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级,levothyroxine sodium:disease_directed_therapy | prednisone:disease_directed_therapy | calcium carbonate:disease_directed_therapy | methylprednisolone sodium succ:disease_directed_therapy | insulin:disease_directed_therapy
内分泌/代谢,"Cushing's syndrome, unspecified",cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景,
内分泌/代谢,"Cystic fibrosis, unspecified",cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景,
内分泌/代谢,Deficiency of other specified B group vitamins,primary_specialty_disease,insulin | cyanocobalamin | levothyroxine sodium | calcium carbonate | methylprednisolone sodium succ,insulin | cyanocobalamin,acetaminophen | senna | heparin | influenza vaccine quadrivalent | lorazepam,single_specialty_cooccurrence,insulin(30) | cyanocobalamin(25) | levothyroxine sodium(7) | calcium carbonate(3) | methylprednisolone sodium succ(3),候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级,insulin:disease_directed_therapy | cyanocobalamin:disease_directed_therapy | levothyroxine sodium:disease_directed_therapy | calcium carbonate:disease_directed_therapy | methylprednisolone sodium succ:disease_directed_therapy
内分泌/代谢,Deficiency of vitamin K,primary_specialty_disease,cyanocobalamin,cyanocobalamin,acetaminophen | cefepime | heparin | atovaquone-proguanil (250mg-100mg) | d5lr,single_specialty_cooccurrence,cyanocobalamin(3),候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级,cyanocobalamin:disease_directed_therapy
内分泌/代谢,Dehydration,cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景,
内分泌/代谢,Diabetes insipidus,primary_specialty_disease,desmopressin acetate | hydrocortisone | hydrocortisone na succ. | sodium bicarbonate | desmopressin nasal,desmopressin acetate | hydrocortisone,dextrose 5% | acetaminophen | bisacodyl | ondansetron | docusate sodium,single_specialty_cooccurrence,desmopressin acetate(36) | hydrocortisone(29) | hydrocortisone na succ.(21) | sodium bicarbonate(11) | desmopressin nasal(9),候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级,desmopressin acetate:disease_directed_therapy | hydrocortisone:disease_directed_therapy | hydrocortisone na succ.:disease_directed_therapy | sodium bicarbonate:disease_directed_therapy | desmopressin nasal:disease_directed_therapy
内分泌/代谢,"Disorder of adrenal gland, unspecified",primary_specialty_disease,hydrocortisone | calcium carbonate | hydrocortisone (rectal) 2.5% cream | hydrocortisone na succ.,hydrocortisone | calcium carbonate,acetaminophen | olanzapine | senna | docusate sodium | oxycodone (immediate release),single_specialty_cooccurrence,hydrocortisone(2) | calcium carbonate(1) | hydrocortisone (rectal) 2.5% cream(1) | hydrocortisone na succ.(1),候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级,hydrocortisone:disease_directed_therapy | calcium carbonate:disease_directed_therapy | hydrocortisone (rectal) 2.5% cream:disease_directed_therapy | hydrocortisone na succ.:disease_directed_therapy
内分泌/代谢,"Disorder of phosphorus metabolism, unspecified",primary_specialty_disease,insulin human regular | insulin pump (self administering medication),insulin human regular | insulin pump (self administering medication),bisacodyl | d5 1/2ns | heparin | potassium chl 40 meq / 1000 ml d5 1/2 ns | senna,single_specialty_cooccurrence,insulin human regular(3) | insulin pump (self administering medication)(1),候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级,insulin human regular:disease_directed_therapy | insulin pump (self administering medication):disease_directed_therapy
内分泌/代谢,"Disorder of pituitary gland, unspecified",primary_specialty_disease,calcium carbonate | levothyroxine sodium | insulin,calcium carbonate | levothyroxine sodium,acetaminophen | diazepam | diphenhydramine | hydroxyzine | morphine sulfate,single_specialty_cooccurrence,calcium carbonate(2) | levothyroxine sodium(2) | insulin(1),候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级,calcium carbonate:disease_directed_therapy | levothyroxine sodium:disease_directed_therapy | insulin:disease_directed_therapy
内分泌/代谢,"Disorder of thyroid, unspecified",primary_specialty_disease,levothyroxine sodium | hydrocortisone | calcium carbonate | hydrocortisone na succ. | insulin,levothyroxine sodium | hydrocortisone,acetaminophen | docusate sodium | hydromorphone (dilaudid) | oxycodone (immediate release) | ondansetron,single_specialty_cooccurrence,levothyroxine sodium(7) | hydrocortisone(2) | calcium carbonate(1) | hydrocortisone na succ.(1) | insulin(1),候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级,levothyroxine sodium:disease_directed_therapy | hydrocortisone:disease_directed_therapy | calcium carbonate:disease_directed_therapy | hydrocortisone na succ.:disease_directed_therapy | insulin:disease_directed_therapy
内分泌/代谢,Disorders of pyruvate metabolism and gluconeogenesis,primary_specialty_disease,calcium carbonate,calcium carbonate,ketorolac | naloxone | nifedipine (extended release) | acetaminophen | bisacodyl,single_specialty_cooccurrence,calcium carbonate(1),候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级,calcium carbonate:disease_directed_therapy
内分泌/代谢,Drug or chemical induced diabetes mellitus with hyperglycemia,primary_specialty_disease,insulin | prednisone | calcium carbonate | methylprednisolone na suc | methylprednisolone sodium succ,insulin | prednisone,tacrolimus | vitamin d | acetaminophen | dextrose 50% | glucagon,single_specialty_cooccurrence,insulin(102) | prednisone(6) | calcium carbonate(4) | methylprednisolone na suc(2) | methylprednisolone sodium succ(2),候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级,insulin:disease_directed_therapy | prednisone:disease_directed_therapy | calcium carbonate:disease_directed_therapy | methylprednisolone na suc:disease_directed_therapy | methylprednisolone sodium succ:disease_directed_therapy
内分泌/代谢,Drug or chemical induced diabetes mellitus without complications,specialty_related_condition,,,,single_specialty_cooccurrence,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景,
内分泌/代谢,Drug-induced adrenocortical insufficiency,cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景,
内分泌/代谢,"Endocrine disorder, unspecified",cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景,
内分泌/代谢,Familial hypercholesterolemia,primary_specialty_disease,calcium carbonate,calcium carbonate,hydromorphone (dilaudid) | docusate sodium | acetaminophen | ketorolac | ondansetron,single_specialty_cooccurrence,calcium carbonate(1),候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级,calcium carbonate:disease_directed_therapy
内分泌/代谢,"Fluid overload, unspecified",cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景,
内分泌/代谢,Gilbert syndrome,cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景,
内分泌/代谢,Hemochromatosis due to repeated red blood cell transfusions,cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景,
内分泌/代谢,"Hemochromatosis, unspecified",cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景,
内分泌/代谢,Hereditary hemochromatosis,cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景,
内分泌/代谢,Hermansky-Pudlak syndrome,cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景,
内分泌/代谢,Homocystinuria,cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景,
内分泌/代谢,Hypercalcemia,cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景,
内分泌/代谢,"Hyperfunction of pituitary gland, unspecified",primary_specialty_disease,prednisone | hydrocortisone na succ. | levothyroxine sodium,prednisone | hydrocortisone na succ.,acetaminophen | ondansetron | tramadol | acetaminophen-caff-butalbital | cefazolin,single_specialty_cooccurrence,prednisone(2) | hydrocortisone na succ.(1) | levothyroxine sodium(1),候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级,prednisone:disease_directed_therapy | hydrocortisone na succ.:disease_directed_therapy | levothyroxine sodium:disease_directed_therapy
内分泌/代谢,Hyperkalemia,cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景,
内分泌/代谢,"Hyperlipidemia, unspecified",primary_specialty_disease,insulin | levothyroxine sodium | sodium bicarbonate | calcium carbonate | prednisone,insulin | levothyroxine sodium,acetaminophen | oxycodone (immediate release) | senna | docusate sodium | ondansetron,single_specialty_cooccurrence,insulin(477) | levothyroxine sodium(154) | sodium bicarbonate(76) | calcium carbonate(74) | prednisone(66),候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级,insulin:disease_directed_therapy | levothyroxine sodium:disease_directed_therapy | sodium bicarbonate:disease_directed_therapy | calcium carbonate:disease_directed_therapy | prednisone:disease_directed_therapy
内分泌/代谢,Hypermagnesemia,cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景,
内分泌/代谢,Hyperosmolality and hypernatremia,cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景,
内分泌/代谢,"Hyperparathyroidism, unspecified",primary_specialty_disease,calcium carbonate | insulin | levothyroxine sodium | atenolol | methimazole,calcium carbonate | insulin,acetaminophen | oxycodone (immediate release) | docusate sodium | ondansetron | enoxaparin (prophylaxis),single_specialty_cooccurrence,calcium carbonate(2) | insulin(2) | levothyroxine sodium(2) | atenolol(1) | methimazole(1),候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级,calcium carbonate:disease_directed_therapy | insulin:disease_directed_therapy | levothyroxine sodium:disease_directed_therapy | atenolol:disease_directed_therapy | methimazole:disease_directed_therapy
内分泌/代谢,Hyperprolactinemia,cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景,
内分泌/代谢,Hyperuricemia without signs of inflammatory arthritis and tophaceous disease,cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景,
内分泌/代谢,Hypo-osmolality and hyponatremia,primary_specialty_disease,insulin | prednisone | hydrocortisone | calcium carbonate | levothyroxine sodium,insulin | prednisone,acetaminophen | potassium chloride | senna | oxycodone (immediate release) | heparin,single_specialty_cooccurrence,insulin(417) | prednisone(39) | hydrocortisone(28) | calcium carbonate(23) | levothyroxine sodium(21),候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级,insulin:disease_directed_therapy | prednisone:disease_directed_therapy | hydrocortisone:disease_directed_therapy | calcium carbonate:disease_directed_therapy | levothyroxine sodium:disease_directed_therapy
内分泌/代谢,Hypocalcemia,cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景,
内分泌/代谢,"Hypoglycemia, unspecified",cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景,
内分泌/代谢,Hypokalemia,primary_specialty_disease,insulin | sodium bicarbonate | calcium carbonate | levothyroxine sodium | prednisone,insulin | sodium bicarbonate,potassium chloride | acetaminophen | ondansetron | potassium chloride replacement (critical care and oncology) | magnesium sulfate,single_specialty_cooccurrence,insulin(322) | sodium bicarbonate(166) | calcium carbonate(36) | levothyroxine sodium(27) | prednisone(23),候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级,insulin:disease_directed_therapy | sodium bicarbonate:disease_directed_therapy | calcium carbonate:disease_directed_therapy | levothyroxine sodium:disease_directed_therapy | prednisone:disease_directed_therapy
内分泌/代谢,Hypomagnesemia,cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景,
内分泌/代谢,"Hypoparathyroidism, unspecified",primary_specialty_disease,levothyroxine sodium,levothyroxine sodium,citalopram | calcitriol,single_specialty_cooccurrence,levothyroxine sodium(2),候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级,levothyroxine sodium:disease_directed_therapy
内分泌/代谢,Hypopituitarism,primary_specialty_disease,levothyroxine sodium | prednisone | hydrocortisone na succ. | hydrocortisone | methylprednisolone sodium succ,levothyroxine sodium | prednisone,acetaminophen | hydralazine | ondansetron | senna | bisacodyl,single_specialty_cooccurrence,levothyroxine sodium(10) | prednisone(10) | hydrocortisone na succ.(9) | hydrocortisone(7) | methylprednisolone sodium succ(4),候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级,levothyroxine sodium:disease_directed_therapy | prednisone:disease_directed_therapy | hydrocortisone na succ.:disease_directed_therapy | hydrocortisone:disease_directed_therapy | methylprednisolone sodium succ:disease_directed_therapy
内分泌/代谢,Hypothyroidism due to medicaments and other exogenous substances,primary_specialty_disease,levothyroxine sodium | atenolol | hydrocortisone cream 2.5% | hydrocortisone cream 1% | hydrocortisone oint 2.5%,levothyroxine sodium | atenolol,clozapine | clonazepam | olanzapine | lorazepam | olanzapine (disintegrating tablet),single_specialty_cooccurrence,levothyroxine sodium(5) | atenolol(4) | hydrocortisone cream 2.5%(4) | hydrocortisone cream 1%(2) | hydrocortisone oint 2.5%(2),候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级,levothyroxine sodium:disease_directed_therapy | atenolol:disease_directed_therapy | hydrocortisone cream 2.5%:disease_directed_therapy | hydrocortisone cream 1%:disease_directed_therapy | hydrocortisone oint 2.5%:disease_directed_therapy
内分泌/代谢,"Hypothyroidism, unspecified",primary_specialty_disease,levothyroxine sodium | calcium carbonate | insulin | sodium bicarbonate | prednisone,levothyroxine sodium | calcium carbonate,acetaminophen | docusate sodium | oxycodone (immediate release) | ondansetron | senna,single_specialty_cooccurrence,levothyroxine sodium(1129) | calcium carbonate(442) | insulin(372) | sodium bicarbonate(65) | prednisone(51),候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级,levothyroxine sodium:disease_directed_therapy | calcium carbonate:disease_directed_therapy | insulin:disease_directed_therapy | sodium bicarbonate:disease_directed_therapy | prednisone:disease_directed_therapy
内分泌/代谢,Hypovolemia,cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景,
内分泌/代谢,Iodine-deficiency related diffuse (endemic) goiter,cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景,
内分泌/代谢,Iron deficiency,cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景,
内分泌/代谢,Kwashiorkor,cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景,
内分泌/代谢,"Lactose intolerance, unspecified",cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景,
内分泌/代谢,Lipoprotein deficiency,cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景,
内分泌/代谢,Listeriosis,cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景,
