specialty_name,disease_name,aliases,diagnostic_basis,key_symptoms,key_labs_or_tests,differential_diagnosis,reference_source,reference_url,agent_use
心血管,acute coronary syndrome,acute myocardial infarction|unstable angina|NSTEMI|STEMI,ischemic symptoms with ECG change or troponin rise,chest pain|dyspnea|diaphoresis|nausea,troponin|ECG|CK-MB|echocardiography,aortic dissection|pulmonary embolism|pericarditis|noncardiac chest pain,AHA/ACC ACS guidance; Merck Manual,https://www.merckmanuals.com/professional/cardiovascular-disorders/coronary-artery-disease/acute-coronary-syndromes,用于识别急性冠脉综合征并提示抗血小板抗凝和出血风险复核
心血管,stable coronary artery disease,chronic coronary syndrome|coronary atherosclerosis|angina,exertional ischemic symptoms or known coronary artery disease with objective ischemia,exertional chest discomfort|dyspnea|fatigue,ECG|stress testing|coronary angiography|lipid profile,acute coronary syndrome|GERD|musculoskeletal pain,AHA/ACC chronic coronary disease guideline; Merck Manual,https://www.merckmanuals.com/professional/cardiovascular-disorders/coronary-artery-disease/coronary-artery-disease,用于识别慢性冠脉病治疗目标和抗血小板调脂知识
心血管,heart failure,congestive heart failure|systolic heart failure|diastolic heart failure,typical congestion symptoms plus objective cardiac dysfunction evidence,dyspnea|edema|orthopnea|fatigue,BNP|NT-proBNP|echocardiography|chest radiograph|creatinine,COPD exacerbation|renal failure|pneumonia|pulmonary embolism,AHA/ACC/HFSA heart failure guideline; Merck Manual,https://www.merckmanuals.com/professional/cardiovascular-disorders/heart-failure/heart-failure-hf,用于识别心衰相关治疗目标和容量管理风险
心血管,atrial fibrillation,atrial flutter|unspecified atrial fibrillation,irregular rhythm with ECG evidence of atrial fibrillation,palpitations|syncope|dyspnea|fatigue,ECG|INR|electrolytes|TSH,sinus tachycardia|supraventricular tachycardia|atrial flutter,AHA/ACC atrial fibrillation guideline; MedlinePlus,https://medlineplus.gov/atrialfibrillation.html,用于识别抗凝和心率控制相关诊疗知识
心血管,hypertension,essential hypertension|hypertensive chronic kidney disease,persistent elevated blood pressure or documented hypertensive disease,headache|chest discomfort|often asymptomatic,blood pressure|creatinine|potassium|urinalysis,secondary hypertension|pain related blood pressure elevation|white coat hypertension,ACC/AHA hypertension guideline; MedlinePlus,https://medlineplus.gov/highbloodpressure.html,用于识别降压治疗目标和肾功能电解质复核
心血管,valvular heart disease,aortic stenosis|mitral regurgitation|aortic regurgitation|mitral stenosis,murmur or symptoms with echocardiographic valve abnormality,dyspnea|syncope|chest pain|edema,echocardiography|ECG|BNP|chest radiograph,heart failure|cardiomyopathy|pulmonary hypertension,AHA/ACC valvular heart disease guideline; Merck Manual,https://www.merckmanuals.com/professional/cardiovascular-disorders/valvular-disorders/overview-of-cardiac-valvular-disorders,用于识别瓣膜病导致的容量和抗凝相关风险
心血管,infective endocarditis,endocarditis|acute bacterial endocarditis,persistent bacteremia with vegetation or compatible Duke criteria,fever|new murmur|embolic signs|chills,blood culture|echocardiography|CBC|CRP,sepsis|valvular degeneration|noninfective endocarditis,AHA infective endocarditis statement; Merck Manual,https://www.merckmanuals.com/professional/cardiovascular-disorders/endocarditis/infective-endocarditis,用于识别感染性心内膜炎和抗感染抗凝复核场景
心血管,aortic aneurysm or dissection,aortic aneurysm|aortic dissection|abdominal aortic aneurysm,acute tearing pain or aneurysm imaging evidence with vascular risk context,severe chest pain|back pain|syncope|hypotension,CT angiography|echocardiography|blood pressure|hemoglobin,acute coronary syndrome|pulmonary embolism|musculoskeletal pain,ACC/AHA aortic disease guideline; Merck Manual,https://www.merckmanuals.com/professional/cardiovascular-disorders/aortic-disorders/aortic-dissection,用于识别主动脉急症和抗凝降压风险复核
神经,ischemic stroke,cerebral infarction|transient ischemic attack|TIA,focal neurological deficit with vascular imaging or clinical stroke diagnosis,weakness|aphasia|facial droop|vision loss|ataxia,CT head|MRI brain|coagulation tests|glucose|vascular imaging,intracerebral hemorrhage|seizure|migraine|hypoglycemia,AHA/ASA stroke guideline; Merck Manual,https://www.merckmanuals.com/professional/neurologic-disorders/stroke/ischemic-stroke,用于识别卒中诊断线索和抗栓治疗复核
神经,intracerebral hemorrhage,subarachnoid hemorrhage|nontraumatic intracranial hemorrhage,acute neurological deficit with CT or MRI evidence of bleeding,headache|vomiting|altered consciousness|focal deficit,CT head|INR|platelet count|blood pressure,ischemic stroke|trauma|brain tumor|hemorrhagic conversion,AHA/ASA intracerebral hemorrhage guideline; Merck Manual,https://www.merckmanuals.com/professional/neurologic-disorders/stroke/intracerebral-hemorrhage,用于识别出血性神经疾病和抗凝抗血小板风险
神经,seizure disorder,epilepsy|status epilepticus|convulsions,recurrent unprovoked seizures or acute seizure with compatible clinical evidence,convulsion|loss of consciousness|postictal confusion|tongue bite,EEG|glucose|sodium|calcium|drug levels,syncope|metabolic encephalopathy|psychogenic nonepileptic seizure,ILAE epilepsy resources; MedlinePlus,https://medlineplus.gov/epilepsy.html,用于识别抗癫痫治疗目标和代谢诱因
神经,meningitis or encephalitis,meningitis|encephalitis|meningoencephalitis,infection or inflammation of central nervous system supported by CSF or imaging,fever|neck stiffness|headache|altered mental status,CSF analysis|blood culture|CT or MRI|WBC,sepsis associated encephalopathy|stroke|drug toxicity,IDSA meningitis guidance; Merck Manual,https://www.merckmanuals.com/professional/neurologic-disorders/meningitis/acute-bacterial-meningitis,用于识别中枢感染诊断线索和抗感染治疗风险
神经,Parkinson disease,parkinsonism|paralysis agitans,bradykinesia plus rest tremor rigidity or postural instability,rest tremor|rigidity|bradykinesia|gait instability,clinical neurologic exam|medication review,drug induced parkinsonism|essential tremor|normal pressure hydrocephalus,Movement Disorder Society resources; Merck Manual,https://www.merckmanuals.com/professional/neurologic-disorders/movement-and-cerebellar-disorders/parkinson-disease,用于识别多巴胺能治疗知识和谵妄低血压风险
神经,dementia or delirium,Alzheimer disease|vascular dementia|acute confusional state,cognitive decline or acute attention fluctuation after excluding reversible causes,memory loss|confusion|agitation|inattention,cognitive testing|TSH|B12|infection workup|CT head,depression|metabolic encephalopathy|medication toxicity,NIA dementia resources; Merck Manual,https://www.merckmanuals.com/professional/neurologic-disorders/delirium-and-dementia/dementia,用于识别认知障碍与镇静抗胆碱药物风险
神经,migraine,headache syndrome|migraine with aura,recurrent headache with migraine features and absence of secondary red flags,unilateral headache|photophobia|nausea|aura,neurologic exam|imaging if red flags,subarachnoid hemorrhage|meningitis|intracranial mass,American Headache Society resources; MedlinePlus,https://medlineplus.gov/migraine.html,用于识别偏头痛治疗知识并排除危险头痛
神经,peripheral neuropathy,polyneuropathy|diabetic neuropathy|neuropathic pain,symmetric sensory symptoms or neuropathic pain with compatible exam,numbness|burning pain|weakness|paresthesia,glucose|B12|TSH|EMG,radiculopathy|spinal cord disease|vascular claudication,American Academy of Neurology resources; Merck Manual,https://www.merckmanuals.com/professional/neurologic-disorders/peripheral-nervous-system-and-motor-unit-disorders/peripheral-neuropathy,用于识别神经病理痛和镇静药物风险
呼吸,pneumonia,bacterial pneumonia|viral pneumonia|aspiration pneumonia,respiratory infection with compatible imaging or microbiology evidence,cough|fever|sputum|dyspnea,chest radiograph|WBC|oxygen saturation|culture,heart failure|pulmonary edema|COPD exacerbation,IDSA/ATS pneumonia guideline; Merck Manual,https://www.merckmanuals.com/professional/pulmonary-disorders/pneumonia/overview-of-pneumonia,用于识别肺炎相关诊断依据和抗感染治疗背景
呼吸,COPD exacerbation,chronic obstructive pulmonary disease|emphysema,acute worsening of dyspnea cough or sputum in COPD background,dyspnea|wheeze|cough|sputum,oxygen saturation|arterial blood gas|chest radiograph,heart failure|pneumonia|asthma exacerbation,GOLD COPD report; MedlinePlus,https://goldcopd.org,用于识别支气管扩张和激素抗感染治疗背景
呼吸,asthma exacerbation,asthma|bronchospasm,reversible airway obstruction with acute wheeze or dyspnea,wheeze|cough|chest tightness|dyspnea,peak flow|oxygen saturation|arterial blood gas,COPD|heart failure|upper airway obstruction,GINA asthma strategy; Merck Manual,https://ginasthma.org,用于识别支气管痉挛和急性气道治疗知识
呼吸,pulmonary embolism,pulmonary embolus|venous thromboembolism in lung,clinical suspicion supported by imaging or high probability testing,dyspnea|pleuritic chest pain|syncope|tachycardia,CT pulmonary angiography|D-dimer|oxygen saturation,pneumonia|acute coronary syndrome|pneumothorax,ESC pulmonary embolism guideline; Merck Manual,https://www.merckmanuals.com/professional/pulmonary-disorders/pulmonary-embolism-pe/pulmonary-embolism-pe,用于识别抗凝治疗场景和出血风险复核
呼吸,acute respiratory distress syndrome,ARDS|acute lung injury,acute hypoxemia with bilateral opacities not fully explained by cardiac failure,severe dyspnea|tachypnea|hypoxemia,PaO2 FiO2 ratio|chest imaging|ABG|echocardiography,cardiogenic pulmonary edema|pneumonia|diffuse alveolar hemorrhage,Berlin ARDS definition; Merck Manual,https://www.merckmanuals.com/professional/critical-care-medicine/respiratory-failure-and-mechanical-ventilation/acute-respiratory-distress-syndrome-ards,用于识别重症呼吸支持和液体管理风险
呼吸,pleural effusion,effusion|empyema|hydrothorax,pleural fluid on imaging with clinical context,dyspnea|pleuritic pain|cough,chest radiograph|ultrasound|thoracentesis|pleural fluid studies,heart failure|pneumonia|malignancy|pulmonary embolism,British Thoracic Society pleural disease guidance; Merck Manual,https://www.merckmanuals.com/professional/pulmonary-disorders/mediastinal-and-pleural-disorders/pleural-effusion,用于识别胸腔积液病因和抗凝操作风险
呼吸,acute respiratory failure,hypoxemic respiratory failure|hypercapnic respiratory failure,abnormal oxygenation or ventilation requiring support,dyspnea|altered mental status|cyanosis,oxygen saturation|ABG|chest imaging|lactate,heart failure|COPD|pneumonia|sedative toxicity,ATS respiratory failure resources; Merck Manual,https://www.merckmanuals.com/professional/critical-care-medicine/respiratory-failure-and-mechanical-ventilation/overview-of-respiratory-failure,用于识别氧合通气风险和镇静药物慎用
呼吸,tuberculosis,pulmonary tuberculosis|TB,chronic respiratory symptoms with microbiologic or imaging evidence,cough|fever|night sweats|weight loss,AFB smear|mycobacterial culture|NAAT|chest imaging,pneumonia|lung cancer|fungal infection,CDC tuberculosis guidance; WHO TB guidance,https://www.cdc.gov/tb,用于识别结核诊断线索和肝毒性抗结核治疗风险
肾内/泌尿,acute kidney injury,acute renal failure|acute kidney failure,acute rise in creatinine or reduced urine output,oliguria|edema|fatigue|nausea,creatinine|BUN|urine output|urinalysis,chronic kidney disease|dehydration|obstruction,KDIGO AKI guideline; MedlinePlus,https://kdigo.org/guidelines/acute-kidney-injury,用于识别肾功能受损和需肾调整药物风险
肾内/泌尿,chronic kidney disease,CKD|chronic renal failure,persistent reduction in kidney function or kidney damage markers,fatigue|edema|often asymptomatic,creatinine|eGFR|urinalysis|potassium,acute kidney injury|cardiorenal syndrome,KDIGO CKD guideline; Merck Manual,https://kdigo.org/guidelines/ckd-evaluation-and-management,用于识别慢性肾病背景和肾排泄药物复核
肾内/泌尿,urinary tract infection,UTI|pyelonephritis|cystitis,urinary symptoms plus urinalysis or culture evidence,dysuria|frequency|flank pain|fever,urinalysis|urine culture|WBC,asymptomatic bacteriuria|nephrolithiasis|prostatitis,IDSA urinary tract infection guidance; MedlinePlus,https://medlineplus.gov/urinarytractinfections.html,用于识别泌尿感染诊断依据和抗感染治疗背景
肾内/泌尿,electrolyte disorder,hyperkalemia|hypokalemia|hyponatremia|hypernatremia,serum electrolyte values outside clinically safe range,weakness|arrhythmia|confusion|seizure,potassium|sodium|creatinine|ECG,laboratory artifact|endocrine disorder|renal failure,KDIGO potassium management; Merck Manual,https://www.merckmanuals.com/professional/endocrine-and-metabolic-disorders/electrolyte-disorders,用于识别电解质风险和用药安全复核
肾内/泌尿,nephrolithiasis,kidney stone|ureteral stone|renal colic,flank pain or hematuria with stone evidence on imaging,colicky flank pain|hematuria|nausea|dysuria,urinalysis|noncontrast CT|ultrasound|creatinine,pyelonephritis|appendicitis|abdominal aortic aneurysm,AUA kidney stone guidance; Merck Manual,https://www.merckmanuals.com/professional/genitourinary-disorders/urinary-calculi/urinary-calculi,用于识别结石疼痛感染和肾功能风险
肾内/泌尿,glomerulonephritis,nephritic syndrome|proteinuric kidney disease,hematuria proteinuria or reduced kidney function with glomerular pattern,edema|hypertension|foamy urine|hematuria,urinalysis|proteinuria|creatinine|complement|serology,UTI|stone disease|acute tubular injury,KDIGO glomerular diseases guideline; Merck Manual,https://kdigo.org/guidelines/gd,用于识别免疫相关肾病和肾毒性治疗复核
肾内/泌尿,urinary retention,benign prostatic hyperplasia|BPH|obstructive uropathy,inability to void or high post void residual with lower urinary tract symptoms,suprapubic pain|weak stream|frequency|nocturia,bladder scan|post void residual|creatinine|urinalysis,UTI|neurogenic bladder|medication adverse effect,AUA BPH guideline; Merck Manual,https://www.merckmanuals.com/professional/genitourinary-disorders/voiding-disorders/urinary-retention,用于识别尿潴留和抗胆碱镇静药物风险
肾内/泌尿,renal replacement indication,dialysis indication|uremia|severe renal failure,severe renal dysfunction with refractory electrolyte acid base volume or uremic complications,uremic symptoms|dyspnea|edema|confusion,creatinine|BUN|potassium|bicarbonate|volume status,AKI without urgent indication|heart failure|sepsis,KDIGO AKI guideline; Merck Manual,https://www.merckmanuals.com/professional/genitourinary-disorders/renal-replacement-therapy/hemodialysis,用于识别透析相关风险和药物剂量复核
内分泌/代谢,diabetes mellitus,hyperglycemia|type 2 diabetes|type 1 diabetes,chronic or acute dysglycemia supported by glucose markers,polyuria|polydipsia|weight loss|often asymptomatic,glucose|HbA1c|ketones|urinalysis,stress hyperglycemia|steroid induced hyperglycemia,ADA Standards of Care; MedlinePlus,https://diabetesjournals.org/care/issue,用于识别降糖治疗目标和低血糖高血糖风险
内分泌/代谢,diabetic ketoacidosis,DKA|ketotic hyperglycemia,hyperglycemia with ketones and high anion gap metabolic acidosis,nausea|vomiting|abdominal pain|Kussmaul breathing,glucose|ketones|anion gap|bicarbonate|potassium,HHS|lactic acidosis|starvation ketosis,ADA Standards of Care; Merck Manual,https://www.merckmanuals.com/professional/endocrine-and-metabolic-disorders/diabetes-mellitus-and-disorders-of-carbohydrate-metabolism/diabetic-ketoacidosis-dka,用于识别胰岛素补液补钾治疗和电解质风险
内分泌/代谢,hyperosmolar hyperglycemic state,HHS|hyperosmolar coma,severe hyperglycemia with hyperosmolarity and minimal ketosis,altered mental status|dehydration|weakness,glucose|serum osmolality|sodium|creatinine|ketones,DKA|stroke|sepsis,ADA Standards of Care; Merck Manual,https://www.merckmanuals.com/professional/endocrine-and-metabolic-disorders/diabetes-mellitus-and-disorders-of-carbohydrate-metabolism/hyperosmolar-hyperglycemic-state-hhs,用于识别高渗状态补液胰岛素和钠钾复核
内分泌/代谢,hypothyroidism,myxedema|thyroid hormone deficiency,low thyroid hormone activity supported by TSH and free T4,fatigue|cold intolerance|bradycardia|weight gain,TSH|free T4|sodium,nonthyroidal illness|depression|anemia,American Thyroid Association resources; Merck Manual,https://www.merckmanuals.com/professional/endocrine-and-metabolic-disorders/thyroid-disorders/hypothyroidism,用于识别甲状腺替代治疗知识和心血管风险
内分泌/代谢,thyrotoxicosis,hyperthyroidism|thyroid storm,excess thyroid hormone activity supported by TSH and thyroid hormone levels,weight loss|tremor|palpitations|heat intolerance,TSH|free T4|T3|ECG,anxiety|sepsis|arrhythmia,American Thyroid Association resources; Merck Manual,https://www.merckmanuals.com/professional/endocrine-and-metabolic-disorders/thyroid-disorders/hyperthyroidism,用于识别抗甲状腺和心率控制相关治疗知识
内分泌/代谢,adrenal insufficiency,adrenal crisis|corticosteroid deficiency,inadequate cortisol response with compatible illness context,weakness|hypotension|nausea|hyponatremia,cortisol|ACTH|sodium|potassium,sepsis|hypovolemia|hypothyroidism,Endocrine Society adrenal insufficiency guideline; Merck Manual,https://www.merckmanuals.com/professional/endocrine-and-metabolic-disorders/adrenal-disorders/adrenal-insufficiency,用于识别激素替代和应激治疗风险
内分泌/代谢,diabetes insipidus,central diabetes insipidus|nephrogenic diabetes insipidus,polyuria with dilute urine and hypernatremia or water deprivation response,polyuria|polydipsia|dehydration,serum sodium|urine osmolality|serum osmolality,osmotic diuresis|primary polydipsia|hypercalcemia,Endocrine Society resources; Merck Manual,https://www.merckmanuals.com/professional/endocrine-and-metabolic-disorders/pituitary-disorders/central-diabetes-insipidus,用于识别去氨加压素和水钠平衡风险
内分泌/代谢,hypercalcemia,calcium disorder|primary hyperparathyroidism,elevated calcium with compatible symptoms or endocrine cause,weakness|constipation|polyuria|confusion,calcium|albumin|PTH|creatinine|vitamin D,malignancy|thiazide effect|dehydration,Endocrine Society resources; Merck Manual,https://www.merckmanuals.com/professional/endocrine-and-metabolic-disorders/electrolyte-disorders/hypercalcemia,用于识别钙代谢异常和补液肾功能风险
消化,gastrointestinal bleeding,upper GI bleeding|lower GI bleeding|melena|hematemesis,clinical bleeding evidence with hemoglobin change or endoscopic source,melena|hematemesis|hematochezia|dizziness,hemoglobin|INR|endoscopy|BUN,iron deficiency anemia|epistaxis swallowed blood,ACG gastrointestinal bleeding guideline; Merck Manual,https://www.merckmanuals.com/professional/gastrointestinal-disorders/gi-bleeding/gastrointestinal-bleeding,用于识别出血诊断线索和抗凝抗血小板复核
消化,peptic ulcer disease,gastric ulcer|duodenal ulcer|GERD related ulcer,dyspepsia or bleeding with endoscopic or clinical ulcer evidence,epigastric pain|nausea|bleeding,endoscopy|H pylori testing|hemoglobin,functional dyspepsia|pancreatitis|biliary disease,ACG peptic ulcer resources; MedlinePlus,https://medlineplus.gov/pepticulcer.html,用于识别抑酸治疗和出血风险背景
消化,hepatic encephalopathy,cirrhosis related encephalopathy|liver failure encephalopathy,altered mental status in liver disease after excluding other causes,confusion|asterixis|somnolence,ammonia|bilirubin|INR|sodium,sepsis|stroke|drug intoxication,AASLD cirrhosis guidance; Merck Manual,https://www.merckmanuals.com/professional/hepatic-and-biliary-disorders/portosystemic-encephalopathy/portosystemic-encephalopathy,用于识别肝病代谢风险和乳果糖利福昔明治疗背景
消化,inflammatory bowel disease,ulcerative colitis|Crohn disease|colitis,chronic intestinal inflammation supported by endoscopy imaging or pathology,diarrhea|abdominal pain|blood in stool|weight loss,CRP|stool studies|colonoscopy|imaging,infection colitis|ischemic colitis|irritable bowel syndrome,ACG inflammatory bowel disease guideline; Merck Manual,https://www.merckmanuals.com/professional/gastrointestinal-disorders/inflammatory-bowel-disease-ibd/overview-of-inflammatory-bowel-disease,用于识别肠炎治疗目标和感染用药复核
消化,cirrhosis with ascites,liver cirrhosis|portal hypertension|ascites,chronic liver disease with portal hypertension or ascites evidence,abdominal distension|edema|jaundice|fatigue,bilirubin|INR|albumin|ultrasound|platelets,heart failure ascites|malignancy|nephrotic syndrome,AASLD cirrhosis guidance; Merck Manual,https://www.merckmanuals.com/professional/hepatic-and-biliary-disorders/fibrosis-and-cirrhosis/cirrhosis,用于识别肝硬化腹水和利尿抗感染风险
消化,acute pancreatitis,pancreatitis|biliary pancreatitis,typical abdominal pain with lipase elevation or imaging evidence,epigastric pain|nausea|vomiting|fever,lipase|amylase|CT abdomen|bilirubin,biliary colic|peptic ulcer|myocardial infarction,ACG pancreatitis guideline; Merck Manual,https://www.merckmanuals.com/professional/gastrointestinal-disorders/pancreatitis/acute-pancreatitis,用于识别胰腺炎补液镇痛和胆道病因复核
消化,cholangitis or cholecystitis,acute cholangitis|acute cholecystitis|biliary infection,biliary symptoms with inflammatory markers imaging or cholestasis,fever|right upper quadrant pain|jaundice|nausea,bilirubin|alkaline phosphatase|ultrasound|CT|WBC,pancreatitis|hepatitis|peptic ulcer,Tokyo Guidelines; Merck Manual,https://www.merckmanuals.com/professional/hepatic-and-biliary-disorders/gallbladder-and-bile-duct-disorders/acute-cholecystitis,用于识别胆道感染和抗感染肝功能风险
消化,gastroesophageal reflux disease,GERD|reflux esophagitis,typical reflux symptoms or endoscopic esophagitis with response to acid suppression,heartburn|regurgitation|chest discomfort,endoscopy if alarm symptoms|pH monitoring if needed,cardiac chest pain|peptic ulcer|eosinophilic esophagitis,ACG GERD guideline; MedlinePlus,https://medlineplus.gov/gerd.html,用于识别抑酸治疗场景并提示长期用药复核
