specialty_name,rule_id,risk_target,related_treatments,lab_name,lab_purpose,threshold_type,moderate_low,moderate_high,moderate_value,moderate_operator,high_low,high_high,high_value,high_operator,unit,risk_message,moderate_action,high_action,contraindication_or_caution,monitoring_advice,reference_source,reference_url,threshold_basis
心血管,cardiology_potassium_arrhythmia_risk,electrolyte related arrhythmia,diuretics|ACE inhibitors|ARB|spironolactone|antiarrhythmics,potassium_24h,评估影响心律和容量治疗的血钾风险,range,3.5,5.0,,,3.0,5.5,,,"mmol/L",血钾异常会增加心律失常传导异常和相关药物不稳定风险,对影响血钾或心律的候选治疗降权并提示复核,标记为高电解质风险并建议先纠正血钾后再强化方案,慎用升钾或降钾治疗并复核肾功能和心电图,复查血钾心电图肌酐和用药清单,KDIGO potassium management; DailyMed labels,https://kdigo.org,参考 KDIGO 钾紊乱管理和常用血钾安全范围
心血管,cardiology_antithrombotic_bleeding_risk,bleeding risk,anticoagulants|antiplatelets|thrombolytics,inr_24h,评估抗凝抗血小板或溶栓治疗相关出血风险,upper_bound,,,1.5,>,,,2.0,>,"",INR 升高提示凝血功能异常且强化抗栓治疗出血风险增加,对抗凝抗血小板或溶栓相关方案降权并提示人工复核,暂停优先推荐强化抗栓方案并标记为高出血风险,避免未复核情况下联合强化抗凝抗血小板或溶栓,复查 INR 血红蛋白血小板和出血体征,DailyMed anticoagulant labels; AHA ACC antithrombotic references,https://dailymed.nlm.nih.gov/dailymed,参考抗凝药品说明书和临床常用凝血风险阈值
心血管,cardiology_renal_hemodynamic_risk,renal hemodynamic risk,ACE inhibitors|ARB|diuretics|contrast exposure,creatinine_24h,评估心血管治疗中的肾功能和血流动力学风险,upper_bound,,,1.5,>=,,,2.5,>=,"mg/dL",肌酐升高时 ACEI ARB 利尿剂或造影相关治疗需注意肾灌注和药物蓄积,降低肾功能敏感治疗优先级并提示剂量和容量复核,标记为高肾功能风险并建议避免不必要肾毒性或造影暴露,慎用肾功能依赖药物并结合容量状态调整,监测肌酐尿量血压和电解质,KDIGO CKD guideline; DailyMed renal warnings,https://kdigo.org,参考 KDIGO 肾功能管理和药品说明书肾功能警示
心血管,cardiology_metabolic_steroid_or_beta_blocker_risk,glycemic cardiovascular context,beta blockers|systemic corticosteroids|dextrose fluids,glucose_24h,评估心血管治疗中血糖异常对方案适配性的影响,bidirectional,70,180,,,54,250,,,"mg/dL",血糖显著异常会影响感染应激和心血管药物安全解释,提示复核降糖和可能掩盖低血糖症状的药物,标记为高代谢风险并优先修正血糖后再排序方案,β受体阻滞剂可能掩盖低血糖症状且激素可升高血糖,监测床旁血糖进食状态和低血糖症状,ADA Standards of Care; DailyMed beta blocker labels,https://diabetesjournals.org/care,参考 ADA 住院血糖目标和药品说明书风险
神经,neurology_intracranial_bleeding_risk,intracranial bleeding risk,anticoagulants|antiplatelets|thrombolytics,inr_24h,评估颅内出血扩展和神经介入相关出血风险,upper_bound,,,1.5,>,,,2.0,>,"",INR 升高时颅内出血扩展或侵袭性神经操作相关出血风险增加,对抗凝抗血小板和侵袭性治疗方案降权,标记为高出血风险并暂停优先推荐相关方案,神经系统出血风险未排除前慎用强化抗栓治疗,复查 INR 头颅影像和神经功能变化,DailyMed anticoagulant labels; AHA ASA stroke references,https://www.stroke.org,参考抗凝药物说明书和神经系统出血风险控制阈值
神经,neurology_sodium_seizure_cerebral_edema_risk,neurologic electrolyte risk,diuretics|hypotonic fluids|antiepileptics|desmopressin,sodium_24h,评估意识状态癫痫阈值和脑水肿相关风险,range,135,145,,,130,150,,,"mmol/L",钠异常可能诱发意识障碍癫痫阈值改变或脑水肿风险上升,降低可能加重水钠紊乱治疗的优先级,标记为高神经电解质风险并建议先纠正钠异常,避免过快纠正血钠并慎用影响水钠平衡的药物,监测血钠纠正速度尿量和神经症状,MedlinePlus sodium test; Merck Manual electrolyte disorders,https://medlineplus.gov/lab-tests/sodium-blood-test,参考公开血钠参考范围和神经系统风险解释
神经,neurology_sedation_respiratory_risk,sedation and encephalopathy risk,opioids|benzodiazepines|gabapentin|baclofen,bun_24h,评估尿毒症或代谢负荷背景下镇静药物风险,upper_bound,,,25,>=,,,40,>=,"mg/dL",BUN 升高可能提示代谢负荷或肾功能问题并增加镇静药物蓄积和意识改变风险,对镇静抗痉挛或神经病理痛药物提示剂量复核,标记为高代谢性脑病风险并建议保守使用镇静药物,避免多种镇静药叠加并复核肾功能剂量,监测意识呼吸频率BUN肌酐和跌倒风险,DailyMed CNS depressant labels; Merck Manual uremia references,https://dailymed.nlm.nih.gov/dailymed,参考中枢抑制药说明书和尿毒症风险解释
神经,neurology_glucose_mimic_stroke_risk,stroke mimic and seizure metabolic risk,insulin|dextrose fluids|systemic corticosteroids,glucose_24h,评估血糖异常对卒中样症状癫痫和意识状态的影响,bidirectional,70,180,,,54,250,,,"mg/dL",低血糖或严重高血糖可造成神经症状并影响卒中或癫痫判断,提示先复核血糖并调整相关治疗排序,标记为高代谢风险并建议先纠正血糖异常,避免未评估血糖时解释神经症状或强化降糖治疗,监测床旁血糖神经体征和酮体,ADA Standards of Care; AHA ASA stroke guidance,https://diabetesjournals.org/care,参考 ADA 血糖目标和卒中鉴别诊断要求
呼吸,respiratory_beta_agonist_potassium_risk,bronchodilator electrolyte risk,beta agonists|diuretics|electrolyte replacement,potassium_24h,评估支气管扩张和利尿治疗中的血钾风险,range,3.5,5.0,,,3.0,5.5,,,"mmol/L",钾异常可能影响呼吸肌收缩心肺稳定性和β受体激动剂安全性,降低可能加重钾异常治疗的优先级并提示复核,标记为高呼吸电解质风险并建议先纠正电解质,使用大剂量β受体激动剂或利尿剂时需复核血钾,监测血钾心率心电图和呼吸状态,KDIGO potassium management; DailyMed beta agonist labels,https://dailymed.nlm.nih.gov/dailymed,参考血钾范围和支气管扩张剂说明书风险
呼吸,respiratory_steroid_glucose_risk,steroid metabolic risk,systemic corticosteroids|infection treatment|dextrose fluids,glucose_24h,评估感染激素治疗和代谢失衡风险,bidirectional,70,180,,,54,250,,,"mg/dL",血糖过高或过低均会增加感染控制和全身代谢稳定风险,对增加糖代谢负担的方案降权并提示复核血糖管理,标记为高代谢风险并暂停优先推荐高糖代谢负担方案,系统激素或含糖补液治疗前需评估血糖风险,监测床旁血糖感染指标和低血糖症状,ADA Standards of Care; DailyMed corticosteroid labels,https://diabetesjournals.org/care,参考 ADA 住院血糖管理目标和激素治疗风险
呼吸,respiratory_sedation_hypercapnia_risk,respiratory depression risk,opioids|benzodiazepines|sedatives,sodium_24h,评估水钠异常或意识改变背景下镇静药对呼吸抑制的影响,range,135,145,,,130,150,,,"mmol/L",严重钠异常可伴随意识改变并放大镇静药导致的通气不足风险,对镇静止痛药物提示降权和人工复核,标记为高意识和呼吸抑制风险并建议保守使用镇静药物,避免多种中枢抑制药叠加并评估二氧化碳潴留,监测意识呼吸频率氧饱和和血气,DailyMed opioid benzodiazepine labels; Merck Manual respiratory failure,https://www.merckmanuals.com,参考中枢抑制药说明书和呼吸衰竭风险解释
呼吸,respiratory_renal_antibiotic_risk,renal dosing during respiratory infection,vancomycin|piperacillin tazobactam|levofloxacin|aminoglycosides,creatinine_24h,评估呼吸感染治疗中抗感染药物肾功能剂量风险,upper_bound,,,1.5,>=,,,2.5,>=,"mg/dL",肌酐升高时多种抗感染药物需要剂量调整或监测肾毒性,提示复核抗感染药物剂量和肾毒性组合,标记为高肾功能风险并建议避免不必要肾毒性联用,慎用肾毒性抗菌药并根据肾功能调整剂量,监测肌酐尿量药物浓度和感染疗效,DailyMed antibiotic renal warnings; IDSA ATS pneumonia guidance,https://dailymed.nlm.nih.gov/dailymed,参考抗菌药说明书肾功能警示和肺炎治疗资料
肾内/泌尿,nephrology_creatinine_drug_accumulation_risk,renal accumulation and nephrotoxicity risk,renally cleared drugs|NSAIDs|contrast exposure|aminoglycosides,creatinine_24h,评估肾功能受损及药物蓄积风险,upper_bound,,,1.5,>=,,,2.5,>=,"mg/dL",肌酐升高提示肾小球滤过下降且肾毒性药物和需肾排泄药物风险增加,降低潜在肾毒性药物优先级并提示剂量调整,标记为高肾功能风险并优先避免肾毒性或大量肾排泄药物组合,避免未调整剂量使用肾排泄药物并慎用 NSAIDs,监测肌酐尿量和药物剂量,KDIGO CKD guideline; DailyMed renal dosing warnings,https://kdigo.org,参考 KDIGO 肾功能异常管理和药品说明书肾功能警示
肾内/泌尿,nephrology_bun_uremia_sedation_risk,uremic and metabolic load risk,sedatives|opioids|gabapentin|baclofen,bun_24h,评估尿毒症和代谢负荷对中枢抑制药物的影响,upper_bound,,,25,>=,,,40,>=,"mg/dL",BUN 升高提示肾功能或分解代谢负荷升高且镇静药物风险增加,增加风险提示并降低高镇静负担方案优先级,标记为高风险并建议优先保留更保守更易监测方案,避免镇静药多药叠加并复核肾功能剂量,监测意识呼吸BUN肌酐和跌倒风险,KDIGO CKD guideline; DailyMed CNS depressant labels,https://dailymed.nlm.nih.gov/dailymed,参考肾病管理原则和中枢抑制药说明书
肾内/泌尿,nephrology_potassium_drug_risk,renal electrolyte risk,ACE inhibitors|ARB|potassium supplements|potassium sparing diuretics|TMP SMX,potassium_24h,评估肾功能受损背景下高钾或低钾并发症风险,range,3.5,5.0,,,3.0,5.5,,,"mmol/L",肾内病例中的钾异常更容易提示致命性心律失常和电解质管理失败风险,对影响电解质平衡方案做额外审查并降低排序,标记为高风险并优先建议纠正钾异常后再推荐方案,高钾时慎用保钾升钾药物低钾时复核补钾速度,复查血钾心电图和肾功能,KDIGO potassium management; KDIGO CKD guideline,https://kdigo.org,参考 KDIGO 钾紊乱管理和 CKD 药物安全原则
肾内/泌尿,nephrology_sodium_volume_risk,fluid and sodium load risk,normal saline|sodium bicarbonate|diuretics|desmopressin,sodium_24h,评估补液碱化利尿和水钠治疗风险,range,135,145,,,130,150,,,"mmol/L",钠异常提示水钠平衡问题并影响补液利尿或去氨加压素方案安全性,降低可能快速改变血钠的治疗优先级并提示复核,标记为高水钠风险并建议先明确容量状态和病因,避免过快纠正血钠并注意钠负荷和容量超负荷,监测血钠尿量体重血压和容量状态,MedlinePlus sodium test; KDIGO CKD guideline,https://medlineplus.gov/lab-tests/sodium-blood-test,参考血钠公开范围和 CKD 水钠管理原则
内分泌/代谢,endocrinology_glucose_treatment_risk,glycemic instability risk,insulin|sulfonylureas|systemic corticosteroids|dextrose fluids,glucose_24h,评估高血糖低血糖及代谢失衡风险,bidirectional,70,180,,,54,250,,,"mg/dL",血糖显著偏离目标范围时提示低血糖酮症酸中毒或感染相关代谢失衡风险,调整降糖相关方案优先级并提示复核血糖监测频率,标记为高代谢风险并暂停优先推荐可能进一步加重波动的方案,强化降糖或激素治疗前需评估低血糖和高血糖风险,监测床旁血糖酮体和进食状态,ADA Standards of Care; DailyMed insulin labels,https://diabetesjournals.org/care,参考 ADA 低血糖分级和住院血糖管理目标
内分泌/代谢,endocrinology_sodium_endocrine_risk,endocrine water and electrolyte risk,fluid therapy|diuretics|desmopressin|adrenal replacement,sodium_24h,评估内分泌代谢相关水电解质失衡风险,range,135,145,,,130,150,,,"mmol/L",明显低钠或高钠提示内分泌代谢性水电解质失衡并影响补液或激素策略,对强化补液和快速纠正方案降权并提示人工复核,标记为高风险并建议先处理水钠紊乱后再排序方案,避免过快纠正血钠并复核内分泌病因,监测血钠纠正速度尿量和神经状态,MedlinePlus sodium test; Merck Manual electrolyte disorders,https://medlineplus.gov/lab-tests/sodium-blood-test,参考公开血钠范围和水电解质风险解释
内分泌/代谢,endocrinology_potassium_dka_adrenal_risk,potassium shift risk,insulin|potassium replacement|adrenal crisis treatment,potassium_24h,评估 DKA 胰岛素治疗和肾上腺危象中的血钾风险,range,3.5,5.0,,,3.0,5.5,,,"mmol/L",胰岛素和酸碱纠正会推动钾向细胞内转移并可能诱发危险低钾,提示胰岛素和补钾方案必须结合血钾复核,标记为高钾转移风险并建议先处理钾异常,低钾未纠正前慎用强化胰岛素治疗,监测血钾心电图阴离子间隙和尿量,ADA Standards of Care; DailyMed insulin labels,https://diabetesjournals.org/care,参考 ADA DKA 治疗原则和胰岛素说明书风险
内分泌/代谢,endocrinology_renal_metformin_bisphosphonate_risk,renal contraindication risk,metformin|bisphosphonates|renally cleared endocrine drugs,creatinine_24h,评估内分泌药物在肾功能受损时的禁忌或剂量风险,upper_bound,,,1.5,>=,,,2.5,>=,"mg/dL",肌酐升高时二甲双胍双膦酸盐和部分药物需禁忌或剂量复核,降低肾功能敏感药物优先级并提示人工复核,标记为高肾功能风险并避免不必要肾风险药物,慎用二甲双胍和肾排泄药物并复核 eGFR,监测肌酐eGFR乳酸风险和药物剂量,DailyMed metformin labels; ADA Standards of Care,https://dailymed.nlm.nih.gov/dailymed,参考二甲双胍说明书和 ADA 肾功能用药原则
消化,gastroenterology_bilirubin_hepatotoxic_risk,hepatic metabolism and cholestasis risk,hepatically metabolized drugs|hepatotoxic drugs|sedatives,bilirubin_total_24h,评估肝胆代谢受损与胆汁淤积风险,upper_bound,,,2.0,>,,,3.0,>,"mg/dL",总胆红素升高提示肝胆代谢负荷增加并可能影响肝代谢药物耐受性,降低肝代谢负担较重药物优先级并提示复核肝胆状态,标记为高肝胆风险并优先避免高肝毒性和高肝代谢负担组合,慎用肝毒性药物和镇静药物并考虑剂量调整,监测胆红素转氨酶 INR 和意识状态,DailyMed hepatotoxicity warnings; AASLD liver disease references,https://dailymed.nlm.nih.gov/dailymed,参考药品说明书肝毒性提示和临床常用胆红素风险解释
消化,gastroenterology_coagulation_bleeding_risk,GI bleeding and hepatic synthetic risk,anticoagulants|antiplatelets|invasive procedures|NSAIDs,inr_24h,评估肝合成功能受损及消化道出血风险,upper_bound,,,1.5,>,,,2.0,>,"",INR 升高可能提示肝合成功能下降或凝血异常且消化道出血风险增加,对抗凝侵袭性操作或易致出血方案降权,标记为高出血风险并暂停优先推荐相关高风险方案,活动性出血或肝功能异常未复核前慎用抗凝抗血小板和 NSAIDs,监测 INR 血红蛋白便血和生命体征,DailyMed anticoagulant labels; liver disease coagulation references,https://dailymed.nlm.nih.gov/dailymed,参考抗凝说明书和肝病凝血风险公开知识
消化,gastroenterology_renal_lactulose_diuretic_risk,renal and volume risk in GI therapy,diuretics|lactulose|antibiotics|contrast imaging,creatinine_24h,评估消化系统治疗中的肾功能和容量风险,upper_bound,,,1.5,>=,,,2.5,>=,"mg/dL",肌酐升高时腹水利尿腹泻治疗抗感染和造影检查需复核肾风险,降低肾功能敏感治疗优先级并提示容量复核,标记为高肾功能风险并建议避免加重肾损伤的组合,慎用过度利尿腹泻诱导和肾毒性抗感染药,监测肌酐尿量体重电解质和腹泻次数,KDIGO CKD guideline; AASLD cirrhosis guidance,https://kdigo.org,参考肾功能管理和肝硬化腹水治疗风险
消化,gastroenterology_sodium_cirrhosis_encephalopathy_risk,cirrhosis sodium and encephalopathy risk,diuretics|lactulose|desmopressin|hypotonic fluids,sodium_24h,评估肝硬化腹水和肝性脑病中的水钠风险,range,135,145,,,130,150,,,"mmol/L",钠异常会影响腹水利尿乳果糖治疗和意识状态解释,对可能加重水钠紊乱方案降权并提示人工复核,标记为高水钠和脑病风险并建议优先稳定电解质,避免过快纠正血钠并谨慎使用利尿或导致腹泻治疗,监测血钠意识尿量体重和腹泻情况,AASLD cirrhosis guidance; MedlinePlus sodium test,https://medlineplus.gov/lab-tests/sodium-blood-test,参考肝硬化水钠管理和公开血钠范围
