specialty_name,standard_drug_name,drug_name,aliases,drug_class,disease_context,treatment_role,treatment_role_label,order_category,mechanism_or_function,major_cautions,reference_source,reference_url,agent_use
呼吸,diphenhydramine,diphenhydramine,benadryl,antihistamine,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,symptom_support,H1 receptor antagonist with anticholinergic effects,delirium urinary retention glaucoma and sedation review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
呼吸,melatonin,melatonin,,sleep support,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,symptom_support,regulates circadian sleep signaling,sedation and interaction review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
呼吸,sodium chloride,sodium chloride,normal saline|0 9 sodium chloride|0 9 percent sodium chloride|ns,crystalloid fluid,supportive care|general inpatient care,general_inpatient_medication,住院通用服务药物,fluid_diluent_flush,isotonic sodium chloride for fluids flush or diluent,volume overload sodium chloride burden and heart failure review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
呼吸,dextrose,dextrose,d5|d10|d50|dextrose 5|dextrose 10|dextrose 50,glucose solution,supportive care|general inpatient care,general_inpatient_medication,住院通用服务药物,symptom_support,provides glucose calories or hypoglycemia rescue,hyperglycemia sodium dilution and extravasation review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
呼吸,lactated ringer,lactated ringer,lactated ringers|ringer,balanced crystalloid,supportive care|general inpatient care,general_inpatient_medication,住院通用服务药物,fluid_diluent_flush,balanced crystalloid fluid for resuscitation,potassium calcium liver and volume status review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
呼吸,sterile water,sterile water,sw,diluent,supportive care|general inpatient care,general_inpatient_medication,住院通用服务药物,fluid_diluent_flush,sterile diluent for medication preparation,not for direct IV infusion without tonicity review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
呼吸,heparin flush,heparin flush,heparin lock flush|heparin catheter flush,line flush,supportive care|general inpatient care,general_inpatient_medication,住院通用服务药物,fluid_diluent_flush,low dose heparin for catheter patency,bleeding HIT and duplicate anticoagulation review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
呼吸,influenza vaccine,influenza vaccine,flu vaccine|influenza vaccine quadrivalent,vaccine,supportive care|general inpatient care,general_inpatient_medication,住院通用服务药物,prophylaxis_prevention,preventive immunization against influenza,allergy acute illness and immunization status review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
呼吸,potassium chloride,potassium chloride,potassium chloride replacement,electrolyte replacement,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,nutrition_electrolyte_metabolic,repletes potassium deficit,hyperkalemia renal function infusion rate and ECG review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
呼吸,magnesium sulfate,magnesium sulfate,,electrolyte replacement,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,nutrition_electrolyte_metabolic,repletes magnesium and stabilizes neuromuscular excitability,renal function hypotension and respiratory depression review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
呼吸,calcium gluconate,calcium gluconate,,electrolyte replacement,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,nutrition_electrolyte_metabolic,repletes calcium and stabilizes myocardium in selected electrolyte emergencies,extravasation calcium level and digoxin caution review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
呼吸,ferrous sulfate,ferrous sulfate,iron sulfate,iron supplement,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,nutrition_support,oral iron replacement for iron deficiency,constipation GI irritation and iron overload review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
呼吸,folic acid,folic acid,folate,vitamin supplement,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,nutrition_support,folate replacement for deficiency or anemia,masking B12 deficiency review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
呼吸,thiamine,thiamine,vitamin B1,vitamin supplement,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,nutrition_support,vitamin B1 replacement in malnutrition or alcohol use,low systemic risk but timing before glucose in deficiency context review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
呼吸,multivitamin,multivitamin,multivitamins,vitamin supplement,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,nutrition_support,general vitamin supplementation,renal fat soluble vitamin and duplicate therapy review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
呼吸,albumin,albumin,human albumin,colloid fluid,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,symptom_support,increases plasma oncotic pressure and expands intravascular volume,volume overload allergy and indication review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
呼吸,pantoprazole,pantoprazole,protonix,acid suppression,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,prophylaxis_prevention,proton pump inhibition for stress ulcer prophylaxis,C difficile magnesium and indication review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
呼吸,famotidine,famotidine,pepcid,H2 receptor antagonist,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,prophylaxis_prevention,H2 receptor blockade reduces gastric acid secretion,renal dose delirium and QT review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
呼吸,omeprazole,omeprazole,prilosec,proton pump inhibitor,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,prophylaxis_prevention,proton pump inhibition suppresses gastric acid secretion,C difficile magnesium B12 and interaction review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
呼吸,naloxone,naloxone,narcan,opioid antagonist,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,emergency_rescue,competitive opioid receptor antagonist reverses opioid toxicity,withdrawal recurrent sedation and monitoring review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
呼吸,flumazenil,flumazenil,,benzodiazepine antagonist,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,emergency_rescue,benzodiazepine receptor antagonist reverses selected benzodiazepine effects,seizure risk chronic benzodiazepine use and monitoring review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
呼吸,epinephrine,epinephrine,adrenaline,adrenergic agonist,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,emergency_rescue,alpha and beta agonist supports anaphylaxis or cardiac arrest response,arrhythmia ischemia and extravasation review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
呼吸,diphenoxylate atropine,diphenoxylate atropine,lomotil,antidiarrheal,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,symptom_support,opioid antidiarrheal plus anticholinergic reduces intestinal motility,ileus infectious diarrhea delirium and anticholinergic review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
呼吸,loperamide,loperamide,imodium,antidiarrheal,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,symptom_support,peripheral opioid receptor agonist slows intestinal transit,infectious colitis ileus and QT with misuse review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
呼吸,guaifenesin,guaifenesin,,expectorant,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,symptom_support,expectorant helps loosen airway secretions,hydration status and symptom masking review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
呼吸,benzonatate,benzonatate,tessalon,antitussive,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,symptom_support,peripheral anesthetic effect reduces cough reflex,swallowing whole overdose and mental status review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
呼吸,lidocaine patch,lidocaine patch,lidocaine 5% patch,local anesthetic,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,symptom_support,local sodium channel blockade reduces focal pain,skin reaction systemic toxicity and duplicate local anesthetic review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
呼吸,lidocaine,lidocaine,1% lidocaine|lidocaine injection,local anesthetic,supportive care|general inpatient care,general_inpatient_medication,住院通用服务药物,procedure_or_nursing,local sodium channel blockade for procedural anesthesia,systemic toxicity arrhythmia dose and allergy review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
呼吸,chlorhexidine,chlorhexidine,,antiseptic,supportive care|general inpatient care,general_inpatient_medication,住院通用服务药物,procedure_or_nursing,topical antiseptic reduces skin microbial burden,skin irritation allergy and mucosal exposure review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
呼吸,povidone iodine,povidone iodine,betadine,antiseptic,supportive care|general inpatient care,general_inpatient_medication,住院通用服务药物,procedure_or_nursing,iodine antiseptic for skin preparation,iodine allergy thyroid and skin irritation review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
呼吸,nystatin,nystatin,nystatin oral suspension,antifungal,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,symptom_support,topical polyene antifungal for oral candidiasis,swallowing local irritation and systemic infection mismatch review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
呼吸,fluconazole,fluconazole,diflucan,azole antifungal,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,symptom_support,azole antifungal inhibits fungal ergosterol synthesis,liver QT drug interaction and renal dose review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
呼吸,insulin regular,insulin regular,regular insulin,glucose management,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,nutrition_electrolyte_metabolic,short acting insulin lowers glucose in correction or inpatient protocols,hypoglycemia potassium and nutrition timing review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
呼吸,glucagon,glucagon,,glucose rescue,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,nutrition_electrolyte_metabolic,raises glucose through hepatic glycogenolysis and gluconeogenesis,nausea glycogen depletion and insulinoma context review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
呼吸,sodium bicarbonate,sodium bicarbonate,,alkalinizing agent,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,nutrition_electrolyte_metabolic,provides bicarbonate buffer for selected acidosis or alkalinization contexts,sodium load alkalosis and volume overload review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
呼吸,phosphate replacement,phosphate replacement,potassium phosphate|sodium phosphate,electrolyte replacement,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,nutrition_electrolyte_metabolic,repletes phosphate deficit,calcium potassium sodium renal and infusion monitoring review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
呼吸,zinc sulfate,zinc sulfate,,trace element supplement,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,nutrition_support,zinc replacement supports nutrition and wound healing,nausea copper deficiency and dosing review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
呼吸,ascorbic acid,ascorbic acid,vitamin C,vitamin supplement,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,nutrition_support,vitamin C replacement supports deficiency and wound healing,renal stones and high dose review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
呼吸,enteral nutrition,enteral nutrition,feeding formula|tube feeding,nutrition product,supportive care|general inpatient care,general_inpatient_medication,住院通用服务药物,nutrition_support,provides calories protein and micronutrients through enteral route,aspiration glucose electrolyte and refeeding risk review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
呼吸,parenteral nutrition,parenteral nutrition,TPN|total parenteral nutrition,nutrition product,supportive care|general inpatient care,general_inpatient_medication,住院通用服务药物,nutrition_support,provides intravenous macronutrients and micronutrients when enteral route inadequate,line infection glucose liver and electrolyte review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
